Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"callTestCase(findTestCase(""login""), [:], STOP_ON_FAILURE)",Chrome 80.0.3987.163,,,2020-04-16 21:03:11,2020-04-16 21:03:21,10.642s,PASSED
comment(note),Chrome 80.0.3987.163,,,2020-04-16 21:03:21,2020-04-16 21:03:21,0.002s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/saucedemo/label_Products""), 3)",Chrome 80.0.3987.163,,,2020-04-16 21:03:21,2020-04-16 21:03:21,0.016s,PASSED
"click(findTestObject(""Object Repository/saucedemo/button_ADD TO CART""))",Chrome 80.0.3987.163,,,2020-04-16 21:03:21,2020-04-16 21:03:21,0.053s,PASSED
"itemOnCart = getText(findTestObject(""Object Repository/saucedemo/label_numberOfItem""))",Chrome 80.0.3987.163,,,2020-04-16 21:03:21,2020-04-16 21:03:21,0.030s,PASSED
"verifyNotMatch(itemOnCart, ""0"", false)",Chrome 80.0.3987.163,,,2020-04-16 21:03:21,2020-04-16 21:03:21,0.001s,PASSED
"click(findTestObject(""Object Repository/saucedemo/button_cart""))",Chrome 80.0.3987.163,,,2020-04-16 21:03:21,2020-04-16 21:03:22,0.313s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/saucedemo/label_Your Cart""), 3)",Chrome 80.0.3987.163,,,2020-04-16 21:03:22,2020-04-16 21:03:22,0.018s,PASSED
"click(findTestObject(""Object Repository/saucedemo/button_checkout""))",Chrome 80.0.3987.163,,,2020-04-16 21:03:22,2020-04-16 21:03:22,0.331s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/saucedemo/label_Checkout Your Information""), 3)",Chrome 80.0.3987.163,,,2020-04-16 21:03:22,2020-04-16 21:03:22,0.015s,PASSED
"setText(findTestObject(""Object Repository/saucedemo/input_firstName""), firstName)",Chrome 80.0.3987.163,,,2020-04-16 21:03:22,2020-04-16 21:03:22,0.088s,PASSED
"setText(findTestObject(""Object Repository/saucedemo/input_lastName""), lastName)",Chrome 80.0.3987.163,,,2020-04-16 21:03:22,2020-04-16 21:03:22,0.066s,PASSED
"setText(findTestObject(""Object Repository/saucedemo/input_postalCode""), postalCode)",Chrome 80.0.3987.163,,,2020-04-16 21:03:22,2020-04-16 21:03:22,0.081s,PASSED
"click(findTestObject(""Object Repository/saucedemo/button_continue""))",Chrome 80.0.3987.163,,,2020-04-16 21:03:22,2020-04-16 21:03:22,0.079s,PASSED
"if (scenario == ""pos"")",Chrome 80.0.3987.163,,,2020-04-16 21:03:22,2020-04-16 21:03:22,0.000s,PASSED
